form	lemma	POS							
toutjours	totjorn	ADV							
ta	tant	ADV							
brabe	brave	ADJ							
,	,	PUNCT							
et	e	CCONJ							
que	qui	PRON							
toutjours	totjorn	ADV							
nous	nos	PRON							
crey	créser	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
De	de	ADP							
dourbi	dobrir	VERB							
las	lo	DET							
prisous	preson	NOUN							
qu'	qui	PRON							
on	òm	PRON							
apello	apelar	VERB							
royalos	roial	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Jamay	jamai	ADV							
on	òm	PRON							
n'	non	ADV							
a	aver	AUX							
pas	pas	ADV							
bist	véser	VERB							
de	de	ADP							
lés	lo	DET							
tant	tant	ADV							
inégalos	inegal	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
cinq	5	PRON							
ba	anar	VERB							
pla	plan	ADV							
,	,	PUNCT							
es	èsser	VERB							
dur	dur	ADJ							
per	per	ADP							
un	un	DET							
Autou	autor	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Que	qui	PRON							
fara	far	VERB							
pla	plan	ADV							
souben	sovent	ADV							
un	un	DET							
oubratge	obratge	NOUN							
fort	fòrt	ADV							
bou	bon	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Que	qui	PRON							
posquo	poder	VERB							
pas	pas	ADV							
d'	de	ADP							
abord	abòrd	NOUN							
fa	far	VERB							
beze	véser	VERB							
soun	son	DET							
adresso	adressa	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Aquo	aquò	PRON							
ba	anar	VERB							
pla	plan	ADV							
tira	tirar	VERB							
d'	de	ADP							
Autous	autor	NOUN							
de	de	ADP							
la	lo	DET							
paresso	paressa	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Jamay	jamai	ADV							
l'	lo	DET							
article	article	NOUN							
siés	6	PRON							
,	,	PUNCT							
nou	non	ADV							
pouyra	poder	VERB							
pas	pas	ADV							
passa	passar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
Rey	rei	NOUN							
n'	non	ADV							
au	el	PRON							
bouldra	voler	VERB							
pas	pas	ADV							
,	,	PUNCT							
es	èsser	VERB							
un	un	DET							
pauc	pauc	ADV							
l'	lo	DET							
oufença	ofençar	VERB							
:	:	PUNCT							
<lb/>	lb	XML							
Nou	non	ADV							
bouldra	voler	VERB							
pas	pas	ADV							
jamay	jamai	ADV							
dins	dins	ADP							
sa	son	DET							
sagesso	sagessa	NOUN							
extrêmo	extrèm	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Permettre	permetre	VERB							
à	a	ADP							
son	son	DET							
sujet	subjècte	NOUN							
de	de	ADP							
s'	el	PRON							
impousa	impausar	VERB							
el	el	PRON							
mêmo	mèma	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
sept	7	PRON							
,	,	PUNCT							
amic	amic	NOUN							
,	,	PUNCT							
es	èsser	AUX							
pla	plan	ADV							
fayt	far	VERB							
,	,	PUNCT							
pla	plan	ADV							
conçut	concebre	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
impôt	impòt	NOUN							
territorial	territorial	ADJ							
es	èsser	VERB							
juste	just	ADJ							
,	,	PUNCT							
amay	amai	ADV							
diougut	dever	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
on	òm	PRON							
diou	dever	VERB							
pas	pas	ADV							
suprima	suprimar	VERB							
sur	sus	ADP							
toutis	tot	DET							
les	lo	DET							
Oufficis	ofici	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
centiemo	centièma	ADJ							
dinier	denièr	NOUN							
,	,	PUNCT							
aco	aquò	PRON							
fayo	far	VERB							
de	de	ADP							
bicis	vici	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Diou	dever	VERB							
toutjours	totjorn	ADV							
subsista	subsistar	VERB							
,	,	PUNCT							
per	per	ADP							
fa	far	VERB							
beze	véser	VERB							
al	a+lo	ADP+DET							
public	public	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Qu'	que	SCONJ							
el	el	PRON							
Rey	rei	NOUN							
a	aver	VERB							
soul	sol	ADJ							
le	lo	DET							
dret	drech	NOUN							
(	(	PUNCT							
escouta	escotar	VERB							
mé	ieu	PRON							
l'	lo	DET							
amic	amic	NOUN							
)	)	PUNCT							
<lb/>	lb	XML							
De	de	ADP							
créa	crear	VERB							
d'	de	ADP							
Oufficiers	oficièr	NOUN							
,	,	PUNCT							
qu'	qui	PRON							
exercon	exerçar	VERB							
sa	son	DET							
justiço	justica	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
houeit	8	PRON							
,	,	PUNCT							
tabés	tanben	ADV							
,	,	PUNCT							
nous	nos	PRON							
sayo	èsser	VERB							
pla	plan	ADV							
proupiço	propiç	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Més	mas	CCONJ							
ey	aver	VERB							
paou	paur	NOUN							
que	que	SCONJ							
jamay	jamai	ADV							
n'	non	PRON							
y	i	PRON							
pouyrent	poder	VERB							
pas	pas	ADV							
beni	venir	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
nau	9	PRON							
es	èsser	VERB							
bou	bon	ADJ							
,	,	PUNCT							
à	a	ADP							
nou	non	ADV							
pas	pas	ADV							
bous	vos	PRON							
mentir	mentir	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Pes	per+lo	ADP+DET							
doumainos	domena	NOUN							
surtout	sustot	ADV							
,	,	PUNCT							
engatchas	engachar	VERB							
soulomen	solament	ADV							
<lb/>	lb	XML							
Dempey	dempuèi	ADP							
le	lo	DET							
dernier	dernièr	ADJ							
regne	règne	NOUN							
,	,	PUNCT							
et	e	CCONJ							
non	non	ADV							
pas	pas	ADV							
autromen	autrament	ADV							
;	;	PUNCT							
<lb/>	lb	XML							
A	a	ADP							
la	lo	DET							
cargo	carga	NOUN							
pourtant	portant	ADV							
,	,	PUNCT							
suiban	suivant	ADV							
toutos	tot	DET							
las	lo	DET							
listos	lista	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
De	de	ADP							
paga	pagar	VERB							
exatomen	exactament	ADV							
à	a	ADP							
toutis	tot	DET							
engugistos	engugista	NOUN							
<lb/>	lb	XML							
Las	lo	DET							
améliouratious	amelhoracion	NOUN							
,	,	PUNCT							
et	e	CCONJ							
d'	de	ADP							
aquelo	aquel	DET							
faysou	faiçon	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Aquel	aquel	DET							
article	article	NOUN							
,	,	PUNCT							
amic	amic	NOUN							
,	,	PUNCT							
se	el	PRON							
troubayou	trobar	VERB							
pla	plan	ADV							
bou	bon	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
dex	2	PRON							
es	èsser	VERB							
fort	fòrt	ADJ							
,	,	PUNCT							
qual	caler	VERB							
estre	èsser	VERB							
pauc	pauc	ADV							
habille	abil	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
De	de	ADP							
pensa	pensar	VERB							
que	que	SCONJ							
le	lo	DET							
Rey	rei	NOUN							
qu'	qui	PRON							
es	èsser	VERB							
ta	tant	ADV							
brabe	brave	ADJ							
et	e	CCONJ							
tranquille	tranquil	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Boulguesso	voler	VERB							
supporta	suportar	VERB							
,	,	PUNCT							
que	que	SCONJ							
sous	son	DET							
simples	simple	ADJ							
sujets	subjècte	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Qu'	qui	PRON							
an	aver	AUX							
fayt	far	VERB							
toutjours	totjorn	ADV							
per	per	ADP							
el	el	PRON							
les	lo	DET							
plus	pus	ADV							
belis	bèl	ADJ							
proujets	projècte	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
L'	el	PRON							
anguesson	anar	VERB							
pentiouna	pensionar	VERB							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
l'	lo	DET							
article	article	NOUN							
es	èsser	VERB							
incrouyable	incroiable	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Aquel	aquel	PRON							
que	qui	PRON							
l'	el	PRON							
a	aver	AUX							
concut	concebre	VERB							
,	,	PUNCT							
es	èsser	VERB							
piri	piri	ADV							
que	que	SCONJ							
le	lo	DET							
diable	diable	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Bourrel	Borrèl	PROPN							
,	,	PUNCT							
l'	lo	DET							
article	article	NOUN							
onze	11	PRON							
es	èsser	VERB							
impoussible	impossible	ADJ							
à	a	ADP							
fa	far	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
On	òm	PRON							
nou	non	ADV							
pouyra	poder	VERB							
jamay	jamai	ADV							
determina	determinar	VERB							
,	,	PUNCT							
fixa	fixar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Tant	tant	ADV							
de	de	ADP							
departomens	departament	NOUN							
,	,	PUNCT							
que	qui	PRON							
fan	far	VERB							
tant	tant	ADV							
de	de	ADP							
despenco	despencar	VERB							
<lb/>	lb	XML							
Forto	fòrt	ADJ							
;	;	PUNCT							
qui	qui	PRON							
plus	pus	ADV							
,	,	PUNCT							
qui	qui	PRON							
mens	mens	ADV							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
suibant	suivant	ADV							
la	lo	DET							
circonstenço	circonstença	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
N'	non	ADV							
ajex	aver	VERB							
poou	paur	NOUN							
que	que	SCONJ							
jamay	jamai	ADV							
aco	aquò	PRON							
posquo	poder	VERB							
ariba	arribar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
doutze	12	PRON							
es	èsser	VERB							
bou	bon	ADJ							
,	,	PUNCT							
mes	mas	ADV							
poudion	poder	VERB							
ajousta	ajostar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Que	que	SCONJ							
la	lo	DET							
soulo	sol	ADJ							
Natiou	nacion	NOUN							
noumayo	nommar	VERB							
sous	son	DET							
Ministres	ministre	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Qu'	que	SCONJ							
elo	el	PRON							
beyrio	véser	VERB							
cad'	cada	DET							
an	aver	VERB							
,	,	PUNCT							
lours	lor	DET							
comptes	compte	NOUN							
,	,	PUNCT							
lours	lor	DET							
registres	registre	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
tretze	13	PRON							
es	èsser	VERB							
bou	bon	ADJ							
,	,	PUNCT							
et	e	CCONJ							
fayt	far	VERB							
ambe	amb	ADP							
de	de	ADP							
sen	sens	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Y	i	PRON							
cal	caler	VERB							
la	lo	DET							
conditiou	condicion	NOUN							
d'	de	ADP							
aquel	aquel	PRON							
qu'	qui	PRON							
és	èsser	VERB							
precedent	precedar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
quatorzieme	quatorsième	ADJ							
article	article	NOUN							
,	,	PUNCT							
ainsi	ainsi	ADV							
que	que	SCONJ							
le	lo	DET							
sixiemo	sisièm	PRON							
,	,	PUNCT							
<lb/>	lb	XML							
Se	el	PRON							
trobo	trobar	VERB							
un	un	DET							
double	doble	ADJ							
emploi	emploi	NOUN							
,	,	PUNCT							
bous	vos	PRON							
au	el	PRON							
beyrets	véser	VERB							
de	de	ADP							
mêmo	mèma	ADV							
,	,	PUNCT							
<lb/>	lb	XML							
Des	de+lo	ADP+DET							
qu'	que	SCONJ							
on	òm	PRON							
admet	admetre	VERB							
d'	de	ADP							
abord	abòrd	NOUN							
,	,	PUNCT							
que	que	SCONJ							
la	lo	DET							
Natiou	nacion	NOUN							
a	aver	VERB							
dret	drech	NOUN							
<lb/>	lb	XML							
D'	de	ADP							
accourda	accordar	VERB							
tout	tot	DET							
impôt	impòt	NOUN							
,	,	PUNCT							
semblo	semblar	VERB							
,	,	PUNCT							
Mestre	mèstre	NOUN							
Bourrel	Borrèl	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
Que	que	SCONJ							
les	lo	DET							
Edits	edit	NOUN							
bursals	bursal	ADJ							
,	,	PUNCT							
nou	non	ADV							
pouyran	poder	VERB							
de	de	ADP							
la	lo	DET							
bido	vida	NOUN							
<lb/>	lb	XML							
S'	el	PRON							
executa	excutar	VERB							
jamay	jamai	ADV							
,	,	PUNCT							
et	e	CCONJ							
le	lo	DET							
bon	bon	ADJ							
sens	sens	ADP							
au	el	PRON							
guido	guida	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Sans	sans	ADP							
abe	aver	VERB							
,	,	PUNCT							
suivant	suivant	ADV							
you	ieu	PRON							
,	,	PUNCT							
son	son	DET							
soul	sol	ADJ							
consentomen	consentament	NOUN							
?	?	PUNCT							
<lb/>	lb	XML							
Nou	non	ADV							
caldrio	caler	VERB							
pas	pas	ADV							
tabes	tanben	ADV							
d'	de	ADP							
autre	autre	DET							
enregistromen	enregistrament	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Qu'	que	SCONJ							
aquel	aquel	PRON							
fayt	far	VERB							
pes	per+lo	ADP+DET							
Estats	estat	NOUN							
,	,	PUNCT							
que	qui	PRON							
ban	anar	VERB							
estre	èsser	VERB							
Versaillo	Versalhas	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
Autroment	autrament	ADV							
.	.	PUNCT							
mon	mon	DET							
amic	amic	NOUN							
,	,	PUNCT							
saran	èsser	VERB							
pas	pas	ADV							
res	res	PRON							
que	que	SCONJ							
vaillo	valer	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
quinze	15	PRON							
es	èsser	VERB							
bou	bon	ADJ							
,	,	PUNCT							
à	a	ADP							
mai	mai	ADV							
le	lo	DET							
qu'	qui	PRON							
es	èsser	VERB							
suivant	suivant	ADV							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
dex	2	PRON							
et	e	CCONJ							
sept	9	PRON							
n'	non	PRON							
es	èsser	VERB							
pas	pas	ADV							
briquo	brica	ADV							
mechant	mechant	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Dins	dins	ADP							
un	un	DET							
siecle	siècle	NOUN							
esclayrat	esclairar	VERB							
,	,	PUNCT							
n'	non	PRON							
es	èsser	VERB							
pas	pas	ADV							
une	un	DET							
injustico	injustiça	NOUN							
<lb/>	lb	XML							
De	de	ADP							
beze	véser	VERB							
un	un	DET							
Gazailla	Gasalhà	PROPN							
toumba	tombar	VERB							
dins	dins	ADP							
la	lo	DET							
Miliço	miliça	NOUN							
?	?	PUNCT							
<lb/>	lb	XML							
Pel	per+lo	ADP+DET							
serbici	servici	NOUN							
del	de+lo	ADP+DET							
Rey	rei	NOUN							
,	,	PUNCT							
souben	sovent	ADV							
abandouna	abandonar	VERB							
<lb/>	lb	XML							
Uno	un	DET							
mayre	maire	NOUN							
malauto	malaut	ADJ							
,	,	PUNCT							
et	e	CCONJ							
un	un	DET							
payre	paire	NOUN							
sans	sans	ADP							
pa	pan	NOUN							
?	?	PUNCT							
<lb/>	lb	XML							
Les	lo	DET							
Seignous	senhor	NOUN							
qu'	qui	PRON							
an	aver	VERB							
d'	de	ADP							
argent	argent	NOUN							
,	,	PUNCT							
et	e	CCONJ							
l'	lo	DET							
Ecclesiastiquo	Eclesiastica	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Diurion	dire	ADJ							
croumpa	crompar	VERB							
de	de	ADP							
gens	gent	NOUN							
,	,	PUNCT							
faytis	far	VERB							
pr'	per	ADP							
aquelo	aquel	DET							
cliquo	clica	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
Croumpa	crompar	VERB							
millo	1000	DET							
fegnans	fenhant	NOUN							
,	,	PUNCT							
que	qui	PRON							
rodon	rodar	VERB							
les	lo	DET							
caffés	cafè	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Et	e	CCONJ							
que	qui	PRON							
se	el	PRON							
fan	far	VERB							
boulurs	volur	NOUN							
per	per	ADP							
abe	aver	VERB							
de	de	ADP							
dignés	dinèr	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
dex	2	PRON							
et	e	CCONJ							
houeit	8	PRON							
,	,	PUNCT							
et	e	CCONJ							
le	lo	DET							
dex	2	PRON							
et	e	CCONJ							
naouyeme	nauièm	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
bint	20	PRON							
et	e	CCONJ							
bint	20	PRON							
-	-	PUNCT							
un	1	PRON							
,	,	PUNCT							
et	e	CCONJ							
le	lo	DET							
bint	20	PRON							
et	e	CCONJ							
duziemo	dusièm	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Se	el	PRON							
trobon	trobar	VERB							
exelents	excellent	ADJ							
,	,	PUNCT							
n'	non	PRON							
ey	aver	VERB							
pas	pas	ADV							
à	a	ADP							
critiqua	critiquar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
bint	20	PRON							
et	e	CCONJ							
tres	3	PRON							
,	,	PUNCT							
on	òm	PRON							
n'	non	PRON							
y	i	PRON							
pot	poder	VERB							
pas	pas	ADV							
touqua	tocar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Malgré	malgré	ADV							
les	lo	DET							
Capelas	capelan	NOUN							
,	,	PUNCT							
qu'	qui	PRON							
an	aver	VERB							
souben	sovent	ADV							
l'	lo	DET							
amo	amor	NOUN							
duro	dur	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Aquo’	aquò	PRON							
s	èsser	VERB							
le	lo	DET							
soul	sol	ADJ							
mouyen	moien	NOUN							
d'	de	ADP							
aneanti	aneantir	VERB							
l'	lo	DET							
usuro	usura	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Qu'	que	SCONJ							
aco	aquò	PRON							
n'	non	PRON							
es	èsser	VERB							
pas	pas	ADV							
pla	plan	ADV							
bel	bèl	ADJ							
de	de	ADP							
presta	prestar	VERB							
son	son	DET							
argent	argent	NOUN							
<lb/>	lb	XML							
A	a	ADP							
l'	lo	DET							
homme	òme	NOUN							
de	de	ADP							
mestié	mestièr	NOUN							
que	qui	PRON							
se	el	PRON							
trobo	trobar	VERB							
indigent	indigent	ADJ							
<lb/>	lb	XML							
Moyennant	moienar	VERB							
cinq	5	PRON							
per	per	ADP							
cent	100	PRON							
?	?	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
L'	lo	DET							
article	article	NOUN							
es	èsser	VERB							
admirable	admirable	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Nostre	nòstre	DET							
Rey	rei	NOUN							
le	lo	DET							
boudra	vodre	VERB							
,	,	PUNCT							
es	èsser	VERB							
juste	just	ADJ							
et	e	CCONJ							
desirable	desirable	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
L'	lo	DET							
article	article	NOUN							
bint	20	PRON							
et	e	CCONJ							
quatre	4	PRON							
es	èsser	AUX							
pla	plan	ADV							
fayt	far	VERB							
,	,	PUNCT							
pla	plan	ADV							
rengat	rengar	VERB							
;	;	PUNCT							
<lb/>	lb	XML							
Mes	mas	CCONJ							
l'	lo	DET							
Autou	autor	NOUN							
cependant	cependant	ADV							
s'	el	PRON							
es	èsser	AUX							
un	un	DET							
briquou	bricon	NOUN							
trompat	trompar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Bourrel	Borrèl	PROPN							
,	,	PUNCT							
t'	tu	PRON							
au	el	PRON							
bau	anar	VERB							
prouba	probar	VERB							
,	,	PUNCT							
escouto	escotar	VERB							
-	-	PUNCT							
me	ieu	PRON							
,	,	PUNCT							
te	tu	PRON							
pregui	pregar	PRON							
.	.	PUNCT							
<lb/>	lb	XML							
<lb/>	lb	XML							
Mestre	mèstre	NOUN							
BOURREL	Borrèl	PROPN							
.	.	PUNCT							
<lb/>	lb	XML							
Tu	tu	PRON							
parlos	parlar	VERB							
coumo	coma	ADP							
qual	caler	VERB							
,	,	PUNCT							
you	ieu	PRON							
te	tu	PRON							
trobi	trobar	VERB							
sinceri	sincèr	ADJ							
;	;	PUNCT							
<lb/>	lb	XML							
Cujas	Cujàs	PROPN							
et	e	CCONJ							
Montesquieu	Montesqieu	PROPN							
,	,	PUNCT							
qu'	qui	PRON							
eron	èsser	VERB							
d'	de	ADP							
hommes	òme	NOUN							
sabens	saber	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Et	e	CCONJ							
qu'	qui	PRON							
ey	aver	AUX							
,	,	PUNCT							
dins	dins	ADP							
mon	mon	DET							
jardin	jardin	NOUN							
,	,	PUNCT							
estudiat	estudiar	VERB							
pla	plan	ADV							
long	long	ADJ							
-	-	PUNCT							
temps	temps	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
M'	ieu	PRON							
an	aver	AUX							
pas	pas	ADV							
tant	tant	ADV							
penetrat	penetrar	VERB							
coumo	coma	ADP							
ço	çò	PRON							
que	qui	PRON							
m'	ieu	PRON							
enseignos	ensenhar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Esperi	esperar	VERB							
,	,	PUNCT							
mon	mon	DET							
amic	amic	NOUN							
,	,	PUNCT							
que	que	SCONJ							
quand	quand	SCONJ							
saren	èsser	VERB							
à	a	ADP							
breignos	verenha	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Me	ieu	PRON							
faras	far	VERB							
le	lo	DET							
plaze	plaser	NOUN							
de	de	ADP							
beni	venir	VERB							
à	a	ADP							
Pechabou	Pechabon	PROPN							
,	,	PUNCT							
<lb/>	lb	XML							
Manjaren	manjarna	VERB							
un	un	DET							
gros	gròs	ADJ							
piot	piòt	NOUN							
,	,	PUNCT							
et	e	CCONJ							
beuren	beure	VERB							
de	de	ADP							
bi	vin	NOUN							
bou	bon	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
<lb/>	lb	XML							
Mestre	mèstre	NOUN							
LABERTAT	Lavertat	PROPN							
.	.	PUNCT							
<lb/>	lb	XML							
Tou	tot	PRON							
nou	non	ADV							
refusi	refusar	VERB							
pas	pas	ADV							
uno	un	DET							
pareillo	parelh	ADJ							
cauzo	causa	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Aymi	aimar	ADV							
le	lo	DET							
bi	vin	NOUN							
,	,	PUNCT							
surtout	sustot	ADV							
quand	quand	SCONJ							
es	èsser	VERB							
clar	clar	ADJ							
et	e	CCONJ							
sans	sans	ADP							
rauzo	rausa	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Mes	mas	CCONJ							
layssen	laissar	ADJ							
tout	tot	ADV							
aquo	aquò	PRON							
,	,	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
.	.	PUNCT							
aujen	aver	VERB							
un	un	DET							
pauc	pauc	ADV							
de	de	ADP							
sen	sens	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Ey	aver	VERB							
mon	mon	DET							
esprit	esprit	NOUN							
tendu	tendre	VERB							
sur	sus	ADP							
l'	lo	DET							
article	article	NOUN							
presen	present	ADJ							
.	.	PUNCT							
<lb/>	lb	XML							
Laysso	laissar	PRON							
-	-	PUNCT							
me	ieu	PRON							
,	,	PUNCT							
se	se	SCONJ							
te	tu	PRON							
play	plaire	VERB							
,	,	PUNCT							
continua	continuar	VERB							
mon	mon	DET							
rolle	ròtle	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
dret	drech	NOUN							
d'	de	ADP							
insinua	insinuar	VERB							
,	,	PUNCT							
memo	mèma	ADV							
le	lo	DET							
contorolle	contraròtle	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Suiban	suivant	ADV							
las	lo	DET							
gens	gent	NOUN							
sabens	saber	ADJ							
,	,	PUNCT							
nou	non	ADV							
fa	far	VERB							
pas	pas	ADV							
qu'	que	SCONJ							
arresta	arrestar	VERB							
<lb/>	lb	XML							
La	lo	DET							
datto	data	NOUN							
des	de+lo	ADP+DET							
contrats	contrat	NOUN							
que	qui	PRON							
l'	lo	DET							
on	òm	PRON							
ben	venir	VERB							
de	de	ADP							
passa	passar	VERB							
.	.	PUNCT							
<lb/>	lb	XML							
Aquo	aquò	PRON							
nou	non	ADV							
paro	parar	VERB							
pas	pas	ADV							
à	a	ADP							
lour	lor	DET							
perto	pèrta	NOUN							
futuro	futur	ADJ							
,	,	PUNCT							
<lb/>	lb	XML							
Au	el	PRON							
cal	caler	VERB							
donc	donc	ADV							
abouli	abolir	VERB							
,	,	PUNCT							
sans	sans	ADP							
crento	centra	NOUN							
,	,	PUNCT							
sans	sans	ADP							
mezuro	mesura	NOUN							
.	.	PUNCT							
<lb/>	lb	XML							
Per	per	ADP							
arresta	arrestar	VERB							
le	lo	DET							
tort	tòrt	NOUN							
qu'	qui	PRON							
un	un	DET							
Noutari	notari	NOUN							
pot	poder	VERB							
fa	far	VERB							
<lb/>	lb	XML							
Sur	sus	ADP							
la	lo	DET							
datto	data	NOUN							
surtout	sustot	ADV							
,	,	PUNCT							
qu'	que	SCONJ							
el	el	PRON							
soul	sol	ADJ							
pot	poder	VERB							
pla	plan	ADV							
refa	refar	VERB							
,	,	PUNCT							
<lb/>	lb	XML							
Sul	sus+lo	ADP+DET							
cambiomen	cambiament	NOUN							
tabes	tanben	ADV							
que	qui	PRON							
pot	poder	VERB							
fa	far	VERB							
dins	dins	ADP							
les	lo	DET							
actes	acte	NOUN							
,	,	PUNCT							
<lb/>	lb	XML							
Et	e	CCONJ							
que	qui	PRON							
pot	poder	VERB							
altera	alterar	VERB							
la	lo	DET							
conbentiou	convecion	NOUN							
,	,	PUNCT							
les	lo	DET							
pactes	pacte	NOUN							
;	;	PUNCT							
<lb/>	lb	XML							
Le	lo	DET							
